winery,wine,vintage,varietal,graph_category,general_category,region,subregion,price,price_type,critic,critic_score,cases_produced,alcohol_pct,estate,single_vineyard,product_tier,source_name,source_url,price_date,data_confidence
Peachy Canyon,Incredible Pink,2023.0,Zinfandel,Rosé,Rosé,Paso Robles,,20.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Rose,2024.0,"Counoise, Grenache, Syrah, Mourvedre",Rosé,Rosé,Paso Robles,,32.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Concrete Blanc,2024.0,"Grenache Blanc, Viognier, Roussanne, Picpoul Blanc",Rhone Blend,White,Paso Robles,,36.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Peche Blanche,2023.0,"Grenache Blanc, Viognier, Roussanne, Picpoul Blanc",Rhone Blend,White,Paso Robles,,32.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Cabernet Sauvignon,2023.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,62.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Reserve Cabernet Sauvignon,2022.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,150.0,Historical listed price,,,,,False,False,Flagship,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Graciano,2023.0,Graciano,Graciano,Red,Paso Robles,,90.0,Historical listed price,,,,,False,False,Reserve,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Cabernet Franc,2023.0,Cabernet Franc,Cabernet Franc,Red,Paso Robles,,90.0,Historical listed price,,,,,False,False,Reserve,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Lagrein & Petite Sirah,2023.0,Lagrein & Petite Sirah,Red Blend,Red,Paso Robles,,90.0,Historical listed price,,,,,False,False,Reserve,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Malbec,2023.0,Malbec,Malbec,Red,Paso Robles,,75.0,Historical listed price,,,,,False,False,Limited,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Pinot Noir,2022.0,Pinot Noir,Pinot Noir,Red,Paso Robles,,65.0,Historical listed price,,,,,False,False,Limited,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Three C's,2023.0,"Carignan, Cinsault, Counoise",Rhone Blend,Red,Paso Robles,,75.0,Historical listed price,,,,,False,False,Limited,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Effervescent Grenache,2023.0,Grenache,Grenache,Red,Paso Robles,,36.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Rosé,2024.0,"Grenache, Mourvedre",Rosé,Rosé,Paso Robles,,37.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Rosé of Cabernet Sauvignon,2023.0,Cabernet Sauvignon,Rosé,Rosé,Paso Robles,,37.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Rosé of Grenache,2023.0,Grenache,Rosé,Rosé,Paso Robles,,37.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Rosé of Pinot Noir,2023.0,Pinot Noir,Rosé,Rosé,Paso Robles,,37.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Chardonnay,2022.0,Chardonnay,Chardonnay,White,Paso Robles,,49.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Sauvignon Blanc,2024.0,Sauvignon Blanc,Sauvignon Blanc,White,Paso Robles,,49.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Verdelho,2023.0,Verdelho,Verdelho,White,Paso Robles,,35.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Austin Paso Robles Cabernet,,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,20.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Austin Paso Robles Chardonnay,,Chardonnay,Chardonnay,White,Paso Robles,,20.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Liberty School Cabernet Sauvignon,2023.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,16.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Liberty School Cabernet Sauvignon Reserve,2023.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,25.0,Historical listed price,,,,,False,False,Reserve,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Quest Cab Franc,2023.0,Cabernet Franc,Cabernet Franc,Red,Paso Robles,,27.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Treana Cabernet Sauvignon,2023.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Treana Red Reserve,2022.0,Red Blend,Red Blend,Red,Paso Robles,,103.0,Historical listed price,,,,,False,False,Reserve,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Treana Sauvignon Blanc,2022.0,Sauvignon Blanc,Sauvignon Blanc,White,Paso Robles,,25.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Austin Hope,Troublemaker,,Red Blend,Red Blend,Red,Paso Robles,,20.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
